case_id,object_id,table_size,throughput (ops/s)
1,6,32767,6553400
1,6,262143,6898500
1,6,2097151,5005133
1,6,16777215,4274449
1,6,134217727,4177463
1,7,32767,32767000
1,7,262143,20164846
1,7,2097151,15196746
1,7,16777215,11554555
1,7,134217727,6732767
1,15,32767,32767000
1,15,262143,16383937
1,15,2097151,12557790
1,15,16777215,10768430
1,15,134217727,10445772
1,17,32767,32767000
1,17,262143,15420176
1,17,2097151,13981006
1,17,16777215,8208030
1,17,134217727,6555200
1,20,262143,29127000
1,20,2097151,19599542
1,20,16777215,15363749
1,20,134217727,14123721
3,6,32767,16383500
3,6,262143,13797000
3,6,2097151,9446626
3,6,16777215,8928799
3,6,134217727,8673757
3,7,32767,32767000
3,7,262143,17476200
3,7,2097151,9118047
3,7,16777215,7234676
3,7,134217727,6961139
3,15,262143,65535750
3,15,2097151,31300761
3,15,16777215,26929719
3,15,134217727,26994715
3,17,32767,32767000
3,17,262143,14563500
3,17,2097151,9320671
3,17,16777215,6482695
3,17,134217727,5491049
3,20,32767,32767000
3,20,262143,20164846
3,20,2097151,12865957
3,20,16777215,10558348
3,20,134217727,10249540
6,6,32767,32767000
6,6,262143,13797000
6,6,2097151,10131164
6,6,16777215,9725921
6,6,134217727,9340134
6,7,262143,52428600
6,7,2097151,23563494
6,7,16777215,16529275
6,7,134217727,14098500
6,15,262143,65535750
6,15,2097151,38836129
6,15,16777215,32451092
6,15,134217727,32912635
6,17,32767,32767000
6,17,262143,21845250
6,17,2097151,13617863
6,17,16777215,9073669
6,17,134217727,8316359
6,20,262143,37449000
6,20,2097151,20360689
6,20,16777215,16070129
6,20,134217727,15729254
7,6,32767,16383500
7,6,262143,13107150
7,6,2097151,9489371
7,6,16777215,9142896
7,6,134217727,8896250
7,7,262143,37449000
7,7,2097151,19972866
7,7,16777215,14913080
7,7,134217727,9341434
7,15,262143,37449000
7,15,2097151,24966083
7,15,16777215,21509250
7,15,134217727,20722205
7,17,262143,23831181
7,17,2097151,15650380
7,17,16777215,11081383
7,17,134217727,9655256
7,20,262143,65535750
7,20,2097151,31300761
7,20,16777215,24564004
7,20,134217727,24023219
