case_id,entry_id,object_id,operation_type,percentile,latency_ns
24,0,6,1,50.0,202
24,0,6,1,95.0,914
24,0,6,1,99.0,2333
24,0,6,1,99.9,6270
24,0,6,1,99.99,124908
24,0,6,1,100.0,800721058
24,0,6,0,50.0,114
24,0,6,0,95.0,158
24,0,6,0,99.0,187
24,0,6,0,99.9,431
24,0,6,0,99.99,125414
24,0,6,0,100.0,800572948
24,0,7,1,50.0,226
24,0,7,1,95.0,555
24,0,7,1,99.0,856
24,0,7,1,99.9,13950
24,0,7,1,99.99,17488
24,0,7,1,100.0,141461798
24,0,7,0,50.0,231
24,0,7,0,95.0,488
24,0,7,0,99.0,648
24,0,7,0,99.9,892
24,0,7,0,99.99,3508
24,0,7,0,100.0,84186
24,0,15,1,50.0,436
24,0,15,1,95.0,36971
24,0,15,1,99.0,66098
24,0,15,1,99.9,112224
24,0,15,1,99.99,293696
24,0,15,1,100.0,42000209
24,0,15,0,50.0,152
24,0,15,0,95.0,718
24,0,15,0,99.0,1347
24,0,15,0,99.9,2307
24,0,15,0,99.99,3259
24,0,15,0,100.0,84616
24,0,18,1,50.0,367
24,0,18,1,95.0,631
24,0,18,1,99.0,812
24,0,18,1,99.9,1080
24,0,18,1,99.99,3630
24,0,18,1,100.0,77782769
24,0,18,0,50.0,283
24,0,18,0,95.0,556
24,0,18,0,99.0,724
24,0,18,0,99.9,991
24,0,18,0,99.99,3446
24,0,18,0,100.0,211481
24,0,21,1,50.0,195
24,0,21,1,95.0,468
24,0,21,1,99.0,608
24,0,21,1,99.9,874
24,0,21,1,99.99,3033
24,0,21,1,100.0,178965795
24,0,21,0,50.0,189
24,0,21,0,95.0,322
24,0,21,0,99.0,546
24,0,21,0,99.9,655
24,0,21,0,99.99,1183
24,0,21,0,100.0,76530
25,0,6,1,50.0,203
25,0,6,1,95.0,962
25,0,6,1,99.0,2634
25,0,6,1,99.9,7392
25,0,6,1,99.99,125436
25,0,6,1,100.0,819076828
25,0,6,0,50.0,107
25,0,6,0,95.0,132
25,0,6,0,99.0,173
25,0,6,0,99.9,373
25,0,6,0,99.99,123804
25,0,6,0,100.0,248644732
25,0,7,1,50.0,223
25,0,7,1,95.0,552
25,0,7,1,99.0,886
25,0,7,1,99.9,13762
25,0,7,1,99.99,17320
25,0,7,1,100.0,143676179
25,0,7,0,50.0,174
25,0,7,0,95.0,473
25,0,7,0,99.0,652
25,0,7,0,99.9,1042
25,0,7,0,99.99,2046
25,0,7,0,100.0,45610
25,0,15,1,50.0,439
25,0,15,1,95.0,36899
25,0,15,1,99.0,65949
25,0,15,1,99.9,111868
25,0,15,1,99.99,292170
25,0,15,1,100.0,39253200
25,0,15,0,50.0,153
25,0,15,0,95.0,727
25,0,15,0,99.0,1363
25,0,15,0,99.9,2327
25,0,15,0,99.99,3281
25,0,15,0,100.0,290174
25,0,18,1,50.0,374
25,0,18,1,95.0,640
25,0,18,1,99.0,821
25,0,18,1,99.9,1089
25,0,18,1,99.99,3654
25,0,18,1,100.0,79188733
25,0,18,0,50.0,137
25,0,18,0,95.0,339
25,0,18,0,99.0,551
25,0,18,0,99.9,783
25,0,18,0,99.99,1113
25,0,18,0,100.0,38802
25,0,21,1,50.0,206
25,0,21,1,95.0,500
25,0,21,1,99.0,651
25,0,21,1,99.9,922
25,0,21,1,99.99,3273
25,0,21,1,100.0,179415518
25,0,21,0,50.0,125
25,0,21,0,95.0,172
25,0,21,0,99.0,398
25,0,21,0,99.9,565
25,0,21,0,99.99,675
25,0,21,0,100.0,34051
