case_id,object_id,thread_num,throughput (ops/s),latency (ns/op)
1,6,1,4162537,240
1,6,2,7833077,127
1,6,4,14761153,67
1,6,8,24057894,41
1,6,16,37239147,26
1,6,32,41641685,24
1,7,1,7491588,133
1,7,2,14986699,66
1,7,4,29058076,34
1,7,8,54959844,18
1,7,16,86153270,11
1,7,32,125994901,7
1,15,1,10420630,95
1,15,2,9012357,110
1,15,4,9103729,109
1,15,8,9369991,106
1,15,16,9132419,109
1,15,32,12326647,81
1,17,1,7050809,141
1,17,2,12958012,77
1,17,4,24539422,40
1,17,8,44614009,22
1,17,16,82475316,12
1,17,32,117409613,8
1,20,1,15534459,64
1,20,2,28743651,34
1,20,4,55486005,18
1,20,8,94871160,10
1,20,16,181117670,5
1,20,32,239674511,4
3,6,1,8862026,112
3,6,2,17442796,57
3,6,4,34386957,29
3,6,8,60717542,16
3,6,16,116978752,8
3,6,32,135357579,7
3,7,1,7185912,139
3,7,2,8905352,112
3,7,4,28246973,35
3,7,8,35457964,28
3,7,16,97482293,10
3,7,32,141360133,7
3,15,1,25572972,39
3,15,2,50120613,19
3,15,4,92530362,10
3,15,8,191451711,5
3,15,16,321986969,3
3,15,32,388740365,2
3,17,1,5767452,173
3,17,2,11293785,88
3,17,4,22037131,45
3,17,8,41425224,24
3,17,16,77938166,12
3,17,32,100083861,9
3,20,1,10781907,92
3,20,2,21244058,47
3,20,4,41641685,24
3,20,8,80905355,12
3,20,16,141360133,7
3,20,32,174666904,5
6,6,1,9659609,103
6,6,2,19319218,51
6,6,4,37925889,26
6,6,8,67321457,14
6,6,16,127252335,7
6,6,32,150717304,6
6,7,1,14588883,68
6,7,2,29058076,34
6,7,4,57332212,17
6,7,8,105902691,9
6,7,16,203036369,4
6,7,32,237885895,4
6,15,1,32395030,30
6,15,2,64202839,15
6,15,4,125006705,7
6,15,8,232676715,4
6,15,16,422208079,2
6,15,32,510027360,1
6,17,1,8477848,117
6,17,2,16741969,59
6,17,4,33642965,29
6,17,8,66065720,15
6,17,16,122838959,8
6,17,32,168214828,5
6,20,1,16218117,61
6,20,2,31639414,31
6,20,4,62997450,15
6,20,8,110491195,9
6,20,16,216848367,4
6,20,32,250013411,3
7,6,1,9167877,109
7,6,2,18168543,55
7,6,4,34686300,28
7,6,8,68404957,14
7,6,16,122367408,8
7,6,32,143588783,6
7,7,1,10704066,93
7,7,2,21751422,45
7,7,4,42473964,23
7,7,8,84553607,11
7,7,16,155496146,6
7,7,32,192608519,5
7,15,1,20999150,47
7,15,2,41723442,23
7,15,4,81214547,12
7,15,8,133375355,7
7,15,16,274799224,3
7,15,32,339113936,2
7,17,1,9963028,100
7,17,2,19520336,51
7,17,4,38874036,25
7,17,8,76534717,13
7,17,16,143588783,6
7,17,32,198608785,5
7,20,1,23931463,41
7,20,2,48079502,20
7,20,4,93206754,10
7,20,8,171380161,5
7,20,16,325272551,3
7,20,32,388740365,2
