case_id,object_id,load_factor,avg_throughput (ops/s),avg_latency (ns/op),avg_real_memory (MB),avg_virtual_memory (MB),avg_real_memory_case1 (MB)
1,6,0.05,10439534.1,96.4,293.875,364.012,293.875
1,6,0.1,10659073.4,93.4,293.801,364.012,293.801
1,6,0.15,10293084.0,96.3,293.836,364.012,293.836
1,6,0.2,9989576.9,99.8,293.84,364.012,293.84
1,6,0.25,9752171.9,102.1,293.719,364.012,293.719
1,6,0.3,9528950.6,104.4,293.914,364.012,293.914
1,6,0.35,9276541.6,107.2,293.96500000000003,364.012,293.96500000000003
1,6,0.4,8973015.0,111.1,293.85900000000004,364.012,293.85900000000004
1,6,0.45,8640142.1,115.0,293.961,364.012,293.961
1,6,0.5,8267087.7,120.1,293.782,364.012,293.782
1,6,0.55,7857855.5,127.0,293.899,364.012,293.899
1,6,0.6,7436161.3,134.0,293.766,364.012,293.766
1,6,0.65,6998584.7,142.1,293.801,364.012,293.801
1,6,0.7,6543741.7,152.0,293.895,364.012,293.895
1,6,0.75,6024567.8,165.5,293.895,364.012,293.895
1,6,0.8,5328640.5,187.0,293.89799999999997,364.012,293.89799999999997
1,6,0.85,3997157.1,249.7,293.875,364.012,293.875
1,6,0.9,4032547.2,247.6,293.719,364.012,293.719
1,6,0.95,4169525.6,239.3,293.777,364.012,293.777
1,6,0.99,4228827.1,236.0,294.844,364.012,294.844
1,7,0.05,12282555.2,81.3,312.101,382.356,312.101
1,7,0.1,13368682.4,74.4,312.18399999999997,382.356,312.18399999999997
1,7,0.15,13699738.4,72.5,312.17199999999997,382.356,312.17199999999997
1,7,0.2,13701570.8,72.5,312.238,382.356,312.238
1,7,0.25,13676109.8,72.5,312.08599999999996,382.356,312.08599999999996
1,7,0.3,13541009.6,73.2,312.164,382.356,312.164
1,7,0.35,13431062.3,74.0,312.242,382.356,312.242
1,7,0.4,13307465.0,74.8,312.18,382.356,312.18
1,7,0.45,13157571.2,75.5,312.293,382.356,312.293
1,7,0.5,13054404.0,75.9,312.308,382.356,312.308
1,7,0.55,12875111.9,77.1,312.18,382.356,312.18
1,7,0.6,12768220.0,78.0,312.261,382.356,312.261
1,7,0.65,12656926.4,78.6,312.242,382.356,312.242
1,7,0.7,12521673.6,79.2,312.15700000000004,382.356,312.15700000000004
1,7,0.75,12394601.8,80.1,312.106,382.356,312.106
1,7,0.8,12261838.1,81.0,312.18,382.356,312.18
1,7,0.85,12161579.4,82.0,312.304,382.356,312.304
1,7,0.9,11979974.6,83.0,312.14500000000004,382.356,312.14500000000004
1,7,0.95,11820250.2,84.0,312.18,382.356,312.18
1,7,0.99,11653326.6,85.1,312.308,382.356,312.308
1,15,0.05,19554843.5,50.9,258.695,328.008,258.695
1,15,0.1,19442636.3,51.2,258.01099999999997,328.008,258.01099999999997
1,15,0.15,19358323.0,51.0,257.918,328.008,257.918
1,15,0.2,19184979.5,51.9,257.94500000000005,328.008,257.94500000000005
1,15,0.25,18970202.0,52.0,257.94599999999997,328.008,257.94599999999997
1,15,0.3,18682926.8,53.0,259.039,328.008,259.039
1,15,0.35,18355830.3,54.0,257.953,328.008,257.953
1,15,0.4,17982055.5,55.0,257.942,328.008,257.942
1,15,0.45,17526547.4,56.3,258.01099999999997,328.008,258.01099999999997
1,15,0.5,17144128.7,58.0,257.90299999999996,328.008,257.90299999999996
1,15,0.55,16668170.0,59.5,257.95300000000003,328.008,257.95300000000003
1,15,0.6,16092954.1,61.4,257.918,328.008,257.918
1,15,0.65,15623506.5,63.7,257.844,328.008,257.844
1,15,0.7,15025662.5,66.0,257.90299999999996,328.008,257.90299999999996
1,15,0.75,14339333.3,69.2,257.879,328.008,257.879
1,15,0.8,10155704.8,98.0,257.957,328.008,257.957
1,15,0.85,10348799.6,96.0,257.89500000000004,328.008,257.89500000000004
1,15,0.9,10517168.6,94.9,258.07,328.008,258.07
1,15,0.95,10653276.4,93.1,258.324,328.008,258.324
1,15,0.99,10743507.9,92.8,257.961,328.008,257.961
1,17,0.05,12691044.8,78.1,242.29299999999998,312.387,242.29299999999998
1,17,0.1,12895701.5,77.1,242.297,312.387,242.297
1,17,0.15,12716461.7,78.0,242.07,312.387,242.07
1,17,0.2,12391114.1,80.2,242.20700000000002,312.387,242.20700000000002
1,17,0.25,12125919.9,82.1,242.406,312.387,242.406
1,17,0.3,11809507.4,84.1,243.496,312.387,243.496
1,17,0.35,11498054.3,86.4,242.14499999999998,312.387,242.14499999999998
1,17,0.4,11203513.3,89.0,242.3,312.387,242.3
1,17,0.45,10903768.4,91.1,242.133,312.387,242.133
1,17,0.5,10607778.7,94.0,242.293,312.387,242.293
1,17,0.55,10345876.6,96.0,242.11399999999998,312.387,242.11399999999998
1,17,0.6,10073386.2,99.0,242.25,312.387,242.25
1,17,0.65,9815672.8,101.2,242.254,312.387,242.254
1,17,0.7,9572141.8,104.0,242.336,312.387,242.336
1,17,0.75,9336597.5,106.7,242.297,312.387,242.297
1,17,0.8,9103236.5,109.2,242.187,312.387,242.187
1,17,0.85,8885165.7,112.0,242.254,312.387,242.254
1,17,0.9,8679382.4,114.9,242.18800000000002,312.387,242.18800000000002
1,17,0.95,8477409.4,117.3,242.129,312.387,242.129
1,17,0.99,8319292.1,119.9,242.29600000000002,312.387,242.29600000000002
1,20,0.05,20167737.6,49.2,305.805,375.90299999999996,305.805
1,20,0.1,20169457.0,49.0,305.739,375.90299999999996,305.739
1,20,0.15,20008389.0,49.5,307.867,382.301,307.867
1,20,0.2,19916445.4,49.5,305.86400000000003,375.90299999999996,305.86400000000003
1,20,0.25,19721792.0,50.4,306.797,375.90299999999996,306.797
1,20,0.3,19450517.0,50.8,305.87100000000004,375.90299999999996,305.87100000000004
1,20,0.35,19304541.4,51.5,305.87100000000004,375.90299999999996,305.87100000000004
1,20,0.4,19142429.2,51.7,307.101,375.90299999999996,307.101
1,20,0.45,18758664.1,52.8,305.734,375.90299999999996,305.734
1,20,0.5,18547305.6,53.4,305.801,375.90299999999996,305.801
1,20,0.55,18330727.2,54.0,305.875,375.90299999999996,305.875
1,20,0.6,18041100.0,54.8,305.863,375.90299999999996,305.863
1,20,0.65,17810890.5,55.5,305.93,375.90299999999996,305.93
1,20,0.7,17542259.6,56.5,307.61,375.90299999999996,307.61
1,20,0.75,17251607.4,57.4,305.79699999999997,375.90299999999996,305.79699999999997
1,20,0.8,16893752.9,58.8,305.914,375.90299999999996,305.914
1,20,0.85,16617516.8,59.6,305.68,375.90299999999996,305.68
1,20,0.9,16304620.8,60.9,305.754,375.90299999999996,305.754
1,20,0.95,15959516.3,62.2,305.68,375.90299999999996,305.68
1,20,0.99,15687552.9,63.2,305.743,375.90299999999996,305.743
6,6,0.05,9742985.3,102.1,1535.762,1610.5,293.875
6,6,0.1,9742920.6,102.2,1533.7259999999999,1604.102,293.801
6,6,0.15,9754280.9,102.0,1533.8129999999999,1604.102,293.836
6,6,0.2,9737344.2,102.1,1533.789,1604.102,293.84
6,6,0.25,9738352.6,102.0,1533.844,1604.102,293.719
6,6,0.3,9737241.9,102.0,1533.656,1604.102,293.914
6,6,0.35,9731590.2,102.2,1533.711,1604.102,293.96500000000003
6,6,0.4,9745712.2,102.0,1533.586,1604.102,293.85900000000004
6,6,0.45,9739133.6,102.1,1533.625,1604.102,293.961
6,6,0.5,9739477.7,102.0,1533.707,1604.102,293.782
6,6,0.55,9739804.4,102.0,1533.617,1604.102,293.899
