case_id,entry_id,object_id,fill_throughput (ops/s),run_throughput (ops/s)
17,0,6,120051635,152693660
17,0,7,112034831,132104062
17,0,15,19412457,28244471
17,0,17,100312203,110014531
17,0,20,238821580,224820314
18,0,6,120482700,321865055
18,0,7,112034831,171897704
18,0,15,18840220,72652229
18,0,17,98400093,145068880
18,0,20,245820014,266940588
19,0,6,120051635,432960412
19,0,7,112598765,218595648
19,0,15,18688071,550072655
19,0,17,103403488,159025744
19,0,20,240533562,263172015
20,0,6,121354184,151146090
20,0,7,81940004,130944124
20,0,15,19097570,24855134
20,0,17,100162483,130561992
20,0,20,123361882,273355861
21,0,6,120266781,339791716
21,0,7,111662003,148635357
21,0,15,18787475,54185598
21,0,17,98400093,274249546
21,0,20,123589068,496000473
22,0,6,120051635,450395060
22,0,7,83781353,166523235
22,0,15,19548168,482797582
22,0,17,103403488,512281404
22,0,20,124737665,691843958
17,1,6,31956601,46863731
17,1,7,102456280,82392712
17,1,15,4025726,4941378
17,1,18,40257266,45776851
17,1,21,39313921,44605426
18,1,6,32435410,162412545
18,1,7,101067566,150772554
18,1,15,4016090,20136485
18,1,18,38043573,82221102
18,1,21,38858635,75872090
19,1,6,32961131,435771844
19,1,7,101372906,214405316
19,1,15,4018254,208412621
19,1,18,40257266,91304576
19,1,21,39499037,89597949
20,1,6,32094148,47011463
20,1,7,101526269,74112494
20,1,15,4020179,4939560
20,1,18,39130532,50099935
20,1,21,39429414,51169549
21,1,6,31850433,170934447
21,1,7,101067566,102975086
21,1,15,3991249,20043266
21,1,18,38881149,129779276
21,1,21,39199102,118003981
22,1,6,32896501,444429562
22,1,7,106522006,166937472
22,1,15,3993862,216480206
22,1,18,40622799,190110096
22,1,21,39545588,307838825
